S1,S2,Tiempo BF,Tiempo DP
"",sxzkalgr,87,12
"",xjjyakj,63,8
"",cekbyzna,86,9
"",uqererzbo,110,10
josfx,,10,4
phnadad,,10,5
"",znifjl,45,8
"",hkwx,22,5
sjdfzqbckh,,17,8
"",xdxdfstaze,139,11
lhw,loohw,139,11
slyegugp,slyedddgug,883584,52
xsefrqmri,xsefvvrqmr,2597342,63
lekcdhl,lekmmmmcdh,308678,48
jvptdvq,jvpggtdvq,158168,42
lqpeniogpg,lqpeniiiog,6294829,63
ybrppsbnoq,ybrppllsbn,6134043,75
hyzmwx,hyzbbbbmwx,92075,58
jii,jxxii,159,13
jemnu,jeccmnu,4624,21
guafehmo,guafhemo,190131,42
pxu,uxp,45,8
nrnmxzwvrp,nrnmrzwvxp,6408509,65
gzufpjoj,gzujpjof,187767,45
npvoprxmv,npvvprxmo,1153183,53
roupxcb,ruopxcb,32854,38
fvza,fazv,217,13
gan,nag,40,7
nfsyngk,nfsygnk,32693,33
tjm,mjt,47,8
wsbb,tkkq,213,11
idqo,liyx,222,12
npg,phm,41,7
ytcxooa,hexkowq,32539,34
ecoiace,asjvpbk,31247,32
ywlj,pjmd,203,12
pnzb,deza,205,11
bivriujcu,bywzmoaew,1112561,57
syclwk,fwymwh,6128,25
mahvjftl,wyawysnq,197305,43
nmpms,nmatp,1064,16
khghi,kcivq,1043,15
bliy,blhe,208,10
oabr,oafc,190,10
pxjqtmm,pxjacwq,34028,44
ltzdargry,ltzdklkvo,1132938,52
krnivd,krnjuh,5758,24
njsdch,njsech,5658,26
blnqd,bkopp,1061,16
kcgmhmiagr,kcgpudownh,5994875,61
